championship,team_A,team_B,score,time
دوري أبطال أوروبا,كاراباج اجدام,نيوكاسل,[1 : 6],19:45
دوري أبطال أوروبا,جليمت,إنتر ميلان,[3 : 1],22:00
دوري أبطال أوروبا,كلوب بروج,اتلتيكو مدريد,[3 : 3],22:00
دوري أبطال أوروبا,أولمبياكوس,باير ليفركوزن,[0 : 2],22:00
الدوري الإنجليزي,وولفرهامبتون,أرسنال,[2 : 2],22:00
الدوري الإسباني,ليفانتي,فياريال,[0 : 1],21:00
الدوري الإيطالي,ميلان,كومو,[1 : 1],21:45
دوري أبطال آسيا للنخبة,ملبورن سيتي,جانجوون,[0 : 0],12:00
دوري أبطال آسيا للنخبة,شنغهاي بورت,أولسان هيونداي,[0 : 0],12:00
الدوري المغربي,نهضة الزمامرة,نهضة بركان,[1 : 2],18:00
